"rodie                ",Fructe
"rodii                ",Fructe
"capsuni              ",Fructe
"papaya               ",Fructe
"limes                ",Fructe
"nuca de cocos        ",Fructe
"physalis             ",Fructe
"piersici             ",Fructe
"kumquats             ",Fructe
"caise                ",Fructe
"dude                 ",Fructe
"gutui				 ",Fructe
"prune                ",Fructe
"smochine             ",Fructe
"visine               ",Fructe
"zarzare              ",Fructe
"hartie igienica      ",Igiena
"hartie copt          ",Bucatarie
"condimente           ",Produse_de_baza
"cutit                ",Bucatarie
"furculite            ",Bucatarie
"set tacamuri         ",Bucatarie
"pahar                ",Bucatarie
"cana                 ",Bucatarie
"farfurie             ",Bucatarie
"linguri              ",Bucatarie
"igienica             ",Igiena
"oua                  ",Alimente
"albus                ",Alimente
"crenwursti           ",Alimente
"sacosa               ",Diverse
"punga                ",Diverse
"cereale              ",Alimente
"grisine              ",Alimente
"biscuiti             ",Alimente
"sushi                ",Alimente
"chia                 ",Alimente
"ton                  ",Alimente
"pungute              ",Diverse
"pungi                ",Diverse
"tigari               ",Tutun&Alcool
"cigarette            ",Tutun&Alcool
"bere                 ",Tutun&Alcool
"gin                  ",Tutun&Alcool
"vin                  ",Tutun&Alcool
"vodka                ",Tutun&Alcool
"cocktail             ",Tutun&Alcool
"hugo                 ",Tutun&Alcool
"cidru                ",Tutun&Alcool
"faina alba           ",Alimente
"faina                ",Alimente
"guma                 ",Alimente
"bucovina             ",Bauturi
"snack                ",Alimente
"chio                 ",Alimente
"humus                ",Alimente
"inghetata            ",Alimente
"smoothie             ",Bauturi
"prosop hartie        ",Bucatarie
"lasagna              ",Alimente
"budinca              ",Alimente
"sampon               ",Igiena
"sapun ",Igiena
"balsam ",Igiena
"pasta de dinti ",Igiena
"deodorant ",Igiena
"gel de dus ",Igiena
"scrub ",Igiena
masca de fata,Cosmetice
ruj,Cosmetice
creion de buze,Cosmetice
tortilla,Fainoase
"Fond de ten ",Cosmetice
castraveti,Legume
tortilla,Fainoase
strudel,Fainoase
mozzarella,Lactate
Rosii cocktail,Legume
Branzica,Lactate
Demachiant,Cosmetice
Forfecuta,Cosmetice
Absorbante,Cosmetice
Deodorant,Cosmetice
Ulei,Produse_de_baza
Faina,Produse_de_baza
Zahar,Produse_de_baza
Sare,Produse_de_baza
Orez,Produse_de_baza
ovaz,Produse_de_baza
cous cous,Produse_de_baza
Cafea,Alimente
Gris,Produse_de_baza
Drojdie,Produse_de_baza
Conserva,Alimente
Otet,Produse_de_baza
Crema de alune,Alimente
Pate,Alimente
Prosoape de hartie,Curatenie
Solutie de covor,Curatenie
Spray geamuri,Curatenie
Spray mobila,Curatenie
Mop,Curatenie
Matura,Curatenie
Paste,Fainoase
Eugenie,Alimente
Pate,Alimente
Croissant,Alimente
Covrigi,Fainoase
vopsea par ,cosmetice
vopsea, Diverse
perie par ,cosmetice
perie maner,instrumente
apa minerala,Bauturi
lapte proteic ,Lactate
iaurt natur, Lactate
balsam de rufe, Curatenie
detergent de ruge, Curatenie
curatenie, curatenie
Branzica proaspata,Lactate
praf de copt,Bucatarie
bautura lapte, Lactate
cacao pudra, Bucatarie
pijama, Haine
sosete, Haine
pantaloni, Haine
set sosete, Haine
Tortilla, Fainoase
Wraps, Fainoase
placinta,Alimente
fasole rosie, Legume
punga maieu, Diverse
schweppes, Bauturi
sunca de pui,Alimente
sunca de porc,Alimente
Lapte fara lactoza,Lactate
Crenwursti,Alimente
curcan,Alimente
cordon bleu,Alimente
Orbit,Diverse
Vin,Tutun&Alcool
Jambon,Alimente
Somon file,Alimente
cascaval, Lactate
cascaval felii, Lactate
saci menajeri, Curatenie
fulgi de ovaz, Alimente
pernute cacao, Alimente,
baton proteic, Alimente
vin rosu, Tutun&Alcool
vin alb, Tutun&Alcool
cafea macinata, Bauturi
suc, Bauturi
suc portocale, Bauturi
suc natural, Bauturi 
ceai, Bauturi
cappuccino, Bauturi
flat white, Bauturi
cafea boabe, Bauturi
pastrama de pui, Alimente
salam feliat, Alimente
salam de sibiu, Alimente
pate, Alimente
kaizer, Alimente
carnati semiafumati, Alimente
salam victoria, Alimente
sunca praga, Alimente
piept de pui, Alimente
pate de ficat de porc, Alimente
pate de ficat de pui, Alimente
ficat de pui, Alimente
muschi tiganesc, Alimente
crenvursti, Alimente
cotlet de porc, Alimente
carne tocata, Alimente
iaurt de baut, Lactate
branza cu smantana, Lactate
unt, Lactate
branza fagaras, Lactate
smantana, Lactate
lapte integral, Lactate
branza topita, Lactate
branza proaspata, Lactate
crema de branza, Lactate
cascaval afumat, Lactate
telemea de vaca, Lactate
mascarpone, Lactate
lapte sana, Lactate
oua cofrag, Alimente
branza cottage, Lactate
chefir din lapte, Lactate
unt de masa, Lactate
iaurt cu musli, Lactate
iaurt cu fructe, Lactate
malai, Produse_de_baza
miere, Alimente
dulceata, Alimente
gem, Alimente
unt de arahide, Alimente
pulpa de rosii, Alimente
ciuperci feliate, Alimente
minge, Relaxare
cort, Relaxare
arc, Relaxare
hamac, Relaxare
umbrela de plaja, Relaxare
prosop de plaja, Relaxare
crema de soare, Sanatate
pastile, Sanatate
paracetamol, Sanatate
dorada, Alimente
creveti, Alimente
hering, Alimente
sardine, Alimente
file de salau, Alimente
file de pastrav, Alimente
file pangasius, Alimente
salata de icre, Alimente
amandina, Alimente
tort, Alimente
ecler, Alimente
branzoaica, Alimente
foietaj, Alimente
french Toast, Alimente
lipie libaneza, Alimente
dezinfectant solutie, Curatenie
alcool sanitar, Sanatate
Vata bumbac, cosmetice
dischete demachiante, cosmetice
balsam de buze, cosmetice
plasturi, Sanatate
pansament, Sanatate
dopuri pentru urechi, Sanatate
dezinfectant universal, Curatenie
betisoare urcehi, Igiena
detergent universal, Curatenie
servetele antibacteriene, Igiena
detergent lichid, Curatenie
solutie pardoseli, Curatenie
test antigen covid, Sanatate
servetele umede, Curatenie
servetele umede dezinfectante, Igiena
